11 בספטמבר , אקריליק על קנבס , 100 ס"מ , 70 ס"מ 
תמונה בלי שם 11 , , 120 ס"מ , 120 ס"מ
תמונה בלי שם 12 , , 120 ס"מ , 160 ס"מ
תמונה בלי שם 13 , , 120 ס"מ , 90 ס"מ
תמונה בלי שם 14 (197) , , ,
תמונה בלי שם 15 (ב) , ,210 ס"מ , 160 ס"מ
תמונה בלי שם 16 , ,210 ס"מ , 160 ס"מ
תמונה בלי שם 17 (225) , , ,
תמונה בלי שם 18 (226) , , ,
תמונה בלי שם 19 (334) , , ,
תמונה בלי שם 20 (378) , , ,
תמונה בלי שם 21 , , 60 ס"מ , 120 ס"מ
תמונה בלי שם 22 , , ,
תמונה בלי שם 23 , , ,
תמונה בלי שם 24 (Library - 249) , , ,
תמונה בלי שם 25 (Library - 255) , , ,
תמונה בלי שם 26 (Library - 313) , , ,
תמונה בלי שם 27 (Library - 314) , , ,
תמונה בלי שם 28 , , ,
רישום 21 , רישום , , 
תמונה בלי שם 29 , , ,
רישום 01 , רישום , , 
רישום 02 , רישום , ,
רישום 03 , רישום , ,
רישום 04 , רישום , ,
רישום 05 , רישום , ,
רישום 06 , רישום , ,
רישום 07 , רישום , ,
רישום 08 , רישום , ,
רישום 09 , רישום , ,
רישום 10 , רישום , ,
רישום 11 , רישום , ,
אדומות , , 100 ס"מ , 70 ס"מ
רישום - אודי , רישום , 20 ס"מ , 13 ס"מ
אוריינט , אקריליק על קנבס , 60 ס"מ , 45 ס"מ
אחד באור , , 100 ס"מ , 80 ס"מ
אמהות , , 100 ס"מ , 90 ס"מ
אנשים כתומים , אקריליק על קנבס , 100 ס"מ , 100 ס"מ
אנשים עגולים , , 100 ס"מ , 100 ס"מ
אנשים שחור ולבן , אקריליק על קנבס , 120 ס"מ , 100 ס"מ
אשה , , 100 ס"מ , 100 ס"מ
אשה בחלון , , 60 ס"מ , 100 ס"מ
אשה באדום , , 120 ס"מ , 80 ס"מ
אשה באור , , 100 ס"מ , 75 ס"מ
אשה בכתום , , 100 ס"מ , 75 ס"מ
אשה במראה , , 120 ס"מ , 180 ס"מ
אשה ברשת , , 100 ס"מ , 75 ס"מ
אשה חזקה , , 120 ס"מ , 60 ס"מ
אשה יושבת , ג'יקלה , 100 ס"מ , 210 ס"מ
אשה מאחורי וילון , , 120 ס"מ , 60 ס"מ
